         CN num,      gen-CN num,      surface CN,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,  0.1294,  0.1293,  0.0012,  0.1892, -1.5198,  0.0015,  0.1852, -1.5036
     gen-CN num,      surface CN,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      gen-CN num,           CN-Ni,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,           CN-Ni,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0001,  0.1952, -1.5137
     gen-CN num,           CN-Ni,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0003,  0.1865, -1.7587
         CN num,      gen-CN num, mean CN of NN Ni,  0.1250,  0.1246,  0.0149,  0.0012, -1.0596,  0.0148,  0.0015, -1.0508
         CN num, mean CN of NN Ni,      gen-CN num,  0.1297,  0.1300,  0.0003,  0.1941, -1.5226,  0.0003,  0.1919, -1.5068
     gen-CN num, mean CN of NN Ni,          CN num,  0.1337,  0.1322,  0.0005,  0.1832, -1.7534,  0.0005,  0.1820, -1.7417
         CN num,      gen-CN num, rms CN of NN Ni,  0.1250,  0.1246,  0.0149,  0.0011, -1.0595,  0.0148,  0.0014, -1.0507
         CN num, rms CN of NN Ni,      gen-CN num,  0.1297,  0.1300,  0.0003,  0.1942, -1.5228,  0.0003,  0.1920, -1.5070
     gen-CN num, rms CN of NN Ni,          CN num,  0.1337,  0.1322,  0.0005,  0.1834, -1.7539,  0.0005,  0.1821, -1.7422
         CN num,      gen-CN num, sub surface Ni num,  0.1213,  0.1212,  0.0144,  0.0424, -1.0451,  0.0142,  0.0413, -1.0353
         CN num, sub surface Ni num,      gen-CN num,  0.1259,  0.1264,  0.0053,  0.1871, -1.4873,  0.0053,  0.1851, -1.4719
     gen-CN num, sub surface Ni num,          CN num,  0.1283,  0.1273,  0.0079,  0.1765, -1.7081,  0.0077,  0.1757, -1.6980
         CN num,      gen-CN num,             BOO,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,             BOO,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,             BOO,          CN num,  0.1344,  0.1331,  0.0116,  0.1774, -1.7563,  0.0034,  0.1840, -1.7568
         CN num,      gen-CN num,  Pt bond length,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,  Pt bond length,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,  Pt bond length,          CN num,  0.1343,  0.1331,  0.0074,  0.1690, -1.7493,  0.0049,  0.1745, -1.7470
         CN num,      gen-CN num,    surface curv,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,    surface curv,      gen-CN num,  0.1299,  0.1300,  0.0572,  0.1981, -1.5400,  0.0795,  0.1965, -1.5302
     gen-CN num,    surface curv,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      gen-CN num,      chemSROP11,  0.1249,  0.1246,  0.0150,  0.0471, -1.0553,  0.0149,  0.0426, -1.0458
         CN num,      chemSROP11,      gen-CN num,  0.1300,  0.1304,  0.0056,  0.1973, -1.5283,  0.0048,  0.1954, -1.5139
     gen-CN num,      chemSROP11,          CN num,  0.1342,  0.1330,  0.0104,  0.1880, -1.7710,  0.0076,  0.1871, -1.7611
         CN num,      gen-CN num,      chemSROP12,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      chemSROP12,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,      chemSROP12,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      gen-CN num,      chemSROP22,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      chemSROP22,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,      chemSROP22,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      gen-CN num,       gCN-Ni-Ni,  0.1248,  0.1244,  0.0149,  0.0161, -1.0565,  0.0148,  0.0185, -1.0474
         CN num,       gCN-Ni-Ni,      gen-CN num,  0.1297,  0.1300,  0.0025,  0.1953, -1.5225,  0.0029,  0.1931, -1.5072
     gen-CN num,       gCN-Ni-Ni,          CN num,  0.1336,  0.1322,  0.0045,  0.1850, -1.7575,  0.0046,  0.1841, -1.7473
         CN num,      gen-CN num,       gCN-Ni-Pt,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0018, -1.0466
         CN num,       gCN-Ni-Pt,      gen-CN num,  0.1301,  0.1304,  0.0003,  0.1968, -1.5273,  0.0008,  0.1942, -1.5110
     gen-CN num,       gCN-Ni-Pt,          CN num,  0.1344,  0.1329,  0.0013,  0.1863, -1.7639,  0.0018,  0.1847, -1.7509
         CN num,      gen-CN num,       gCN-Pt-Ni,  0.1245,  0.1241,  0.0147,  0.0273, -1.0637,  0.0146,  0.0282, -1.0542
         CN num,       gCN-Pt-Ni,      gen-CN num,  0.1289,  0.1293,  0.0048,  0.1885, -1.5062,  0.0048,  0.1865, -1.4908
     gen-CN num,       gCN-Pt-Ni,          CN num,  0.1320,  0.1306,  0.0086,  0.1753, -1.7180,  0.0085,  0.1743, -1.7076
         CN num,      gen-CN num,       gCN-Pt-Pt,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,       gCN-Pt-Pt,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,       gCN-Pt-Pt,          CN num,  0.1344,  0.1331,  0.0007,  0.1828, -1.7503,  0.0004,  0.1838, -1.7482
         CN num,      gen-CN num,        gCN-Ni-X,  0.1251,  0.1247,  0.0150,  0.0024, -1.0562,  0.0148,  0.0046, -1.0476
         CN num,        gCN-Ni-X,      gen-CN num,  0.1300,  0.1302,  0.0007,  0.1957, -1.5243,  0.0009,  0.1932, -1.5081
     gen-CN num,        gCN-Ni-X,          CN num,  0.1341,  0.1326,  0.0015,  0.1851, -1.7584,  0.0017,  0.1837, -1.7465
         CN num,      gen-CN num,        gCN-Pt-X,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,        gCN-Pt-X,      gen-CN num,  0.1301,  0.1305,  0.0003,  0.1942, -1.5212,  0.0001,  0.1940, -1.5108
     gen-CN num,        gCN-Pt-X,          CN num,  0.1334,  0.1323,  0.0021,  0.1695, -1.6968,  0.0018,  0.1714, -1.6981
         CN num,      gen-CN num,           CN-Pt,  0.1250,  0.1247,  0.0147,  0.0045, -1.0709,  0.0147,  0.0027, -1.0555
         CN num,           CN-Pt,      gen-CN num,  0.1292,  0.1296,  0.0014,  0.1803, -1.4965,  0.0013,  0.1791, -1.4835
     gen-CN num,           CN-Pt,          CN num,  0.1333,  0.1323,  0.0021,  0.1666, -1.6907,  0.0017,  0.1690, -1.6930
         CN num,      gen-CN num,  exp neg strain,  0.1096,  0.1089,  0.0151,  1.0468, -2.0981,  0.0149,  1.0789, -2.1176
         CN num,  exp neg strain,      gen-CN num,  0.1130,  0.1121,  0.1226,  0.0751, -1.7206,  0.1280,  0.0680, -1.7145
     gen-CN num,  exp neg strain,          CN num,  0.1126,  0.1127,  0.1524,  0.0481, -1.6187,  0.1480,  0.0511, -1.6114
         CN num,      gen-CN num,          strain,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,          strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5142
     gen-CN num,          strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      gen-CN num,  inverse strain,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,  inverse strain,      gen-CN num,  0.1301,  0.1305,  0.0000,  0.1973, -1.5285,  0.0000,  0.1955, -1.5141
     gen-CN num,  inverse strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,           CN-Ni,  0.2286,  0.2253,  0.0111,  0.0212, -0.7052,  0.0106,  0.0219, -0.6829
         CN num,           CN-Ni,      surface CN,  0.2559,  0.2507,  0.0056,  0.0659, -0.6333,  0.0056,  0.0632, -0.6144
     surface CN,           CN-Ni,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
