         CN num,      gen-CN num,      surface CN,           CN-Ni,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,           CN-Ni,  0.2237,  0.2205,  0.0107,  0.0061, -0.7146,  0.0102,  0.0062, -0.6919
         CN num,           CN-Ni,      gen-CN num,      surface CN,  0.2150,  0.2126,  0.0038,  0.0145, -0.7333,  0.0038,  0.0138, -0.7094
         CN num,      gen-CN num,      surface CN, mean CN of NN Ni,  0.1250,  0.1246,  0.0149,  0.0002, -1.0565,  0.0148,  0.0002, -1.0475
         CN num,      surface CN,      gen-CN num, mean CN of NN Ni,  0.2178,  0.2149,  0.0101,  0.0022, -0.7359,  0.0096,  0.0022, -0.7103
         CN num, mean CN of NN Ni,      gen-CN num,      surface CN,  0.2113,  0.2092,  0.0014,  0.0139, -0.7491,  0.0014,  0.0131, -0.7225
         CN num,      gen-CN num,      surface CN, rms CN of NN Ni,  0.1251,  0.1246,  0.0149,  0.0001, -1.0564,  0.0148,  0.0002, -1.0474
         CN num,      surface CN,      gen-CN num, rms CN of NN Ni,  0.2180,  0.2150,  0.0101,  0.0022, -0.7359,  0.0096,  0.0021, -0.7103
         CN num, rms CN of NN Ni,      gen-CN num,      surface CN,  0.2113,  0.2093,  0.0014,  0.0139, -0.7491,  0.0014,  0.0132, -0.7225
         CN num,      gen-CN num,      surface CN, sub surface Ni num,  0.1219,  0.1217,  0.0144,  0.0081, -1.0436,  0.0143,  0.0077, -1.0336
         CN num,      surface CN,      gen-CN num, sub surface Ni num,  0.2114,  0.2097,  0.0098,  0.0171, -0.6937,  0.0093,  0.0164, -0.6674
         CN num, sub surface Ni num,      gen-CN num,      surface CN,  0.2042,  0.2033,  0.0123,  0.0133, -0.7131,  0.0118,  0.0126, -0.6863
         CN num,      gen-CN num,      surface CN,             BOO,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
