         CN num,      gen-CN num,      surface CN,  0.1269,  0.1255,  0.2292,  3.0089, -0.0299,  0.8845, -1.9899,  0.2273,  4.9999, -0.0270,  1.0243, -1.9815
         CN num,      surface CN,      gen-CN num,  0.1255,  0.1253,  0.1203,  0.3786,  0.0808,  0.8830, -1.7622,  0.1267,  0.3434,  0.0713,  0.9396, -1.7472
     gen-CN num,      surface CN,          CN num,  0.1255,  0.1253,  0.0807,  0.3784,  0.1203,  0.8820, -1.7624,  0.0711,  0.3429,  0.1269,  0.9352, -1.7478
         CN num,      gen-CN num,           CN-Ni,  0.4217,  0.4079,  0.6415,  2.5177, -0.0801,  0.2235, -5.8361,  0.6173,  2.5584, -0.0590,  0.3163, -5.4293
         CN num,           CN-Ni,      gen-CN num,  0.1279,  0.1276,  0.0704,  1.1455,  0.1274,  0.0038, -2.7843,  0.0801,  1.0125,  0.1157,  0.0020, -2.6540
     gen-CN num,           CN-Ni,          CN num,  0.1279,  0.1276,  0.1274,  0.9961,  0.0704,  0.0044, -2.6349,  0.1157,  0.9261,  0.0800,  0.0022, -2.5676
         CN num,      gen-CN num, mean CN of NN Ni,  0.1337,  0.1293,  0.2248,  2.8596,  0.0012,  0.7676, -2.0885,  0.2094,  4.9509,  0.0012,  1.0678, -1.9584
         CN num, mean CN of NN Ni,      gen-CN num,  0.1234,  0.1238,  0.0727,  0.0000,  0.1181, -0.7799, -1.6292,  0.0829,  0.0000,  0.1063, -0.7170, -1.6324
     gen-CN num, mean CN of NN Ni,          CN num,  0.1234,  0.1236,  0.1222,  0.0000,  0.0695, -0.7770, -1.6297,  0.1088,  0.0000,  0.0811, -0.8233, -1.6312
         CN num,      gen-CN num, rms CN of NN Ni,  0.1315,  0.1341,  0.2040,  3.4174,  0.0014,  1.0363, -1.9167,  0.2458,  3.1672,  0.0014,  0.6629, -2.2820
         CN num, rms CN of NN Ni,      gen-CN num,  0.1235,  0.1238,  0.0732,  0.0000,  0.1170, -0.7565, -1.6268,  0.0820,  0.0000,  0.1081, -0.7862, -1.6313
     gen-CN num, rms CN of NN Ni,          CN num,  0.1235,  0.1239,  0.1231,  0.0000,  0.0689, -0.7590, -1.6317,  0.1106,  0.0000,  0.0797, -0.7126, -1.6314
         CN num,      gen-CN num, sub surface Ni num,  0.4686,  0.3954,  0.6664,  2.1932, -0.1036,  0.2229, -6.0316,  0.6307,  2.5358, -0.0806,  0.2030, -5.9528
         CN num, sub surface Ni num,      gen-CN num,  0.1238,  0.1236,  0.0747,  0.1003,  0.1136, -0.3109, -1.7128,  0.0836,  0.1491,  0.1030, -0.2284, -1.7623
     gen-CN num, sub surface Ni num,          CN num,  0.1238,  0.1236,  0.1136,  0.1004,  0.0747, -0.3106, -1.7130,  0.1030,  0.1477,  0.0836, -0.2301, -1.7609
         CN num,      gen-CN num,             BOO,  0.5195,  0.3921,  0.6957,  2.1524, -0.4076,  0.2399, -5.8378,  0.6332,  2.6821, -0.4000,  0.2018, -5.6859
         CN num,             BOO,      gen-CN num,  0.1251,  0.1239,  0.0602,  1.4204,  0.1400,  3.1445, -1.7202,  0.0685,  1.5284,  0.1309,  3.0131, -1.7417
     gen-CN num,             BOO,          CN num,  0.1251,  0.1239,  0.1400,  1.4213,  0.0602,  3.1458, -1.7202,  0.1308,  1.5265,  0.0685,  3.0109, -1.7418
         CN num,      gen-CN num,  Pt bond length,  0.4153,  0.1771,  0.6320,  2.4061, -0.8655,  0.2238, -3.4773,  0.4457,  2.9520, -0.8529,  0.1694, -2.4510
         CN num,  Pt bond length,      gen-CN num,  0.2074,  0.2133,  0.5339,  1.1836, -0.3835,  0.3651, -2.4961,  0.5639,  1.1873, -0.4125,  0.4239, -2.4778
     gen-CN num,  Pt bond length,          CN num,  0.1743,  0.1760,  0.4899,  1.1829, -0.2952,  0.3586, -1.4774,  0.4803,  1.1359, -0.2891,  0.3562, -1.4403
         CN num,      gen-CN num,    surface curv,  0.5346,  0.5463,  0.7012,  2.1646, -4.2423,  0.2161, -6.2749,  0.7044,  1.9974, -3.2785,  0.2557, -6.1913
         CN num,    surface curv,      gen-CN num,  0.1278,  0.1276,  0.0804,  0.2315,  0.1149,  1.9660, -1.8692,  0.0850,  1.4299,  0.1094,  0.1680, -3.0700
     gen-CN num,    surface curv,          CN num,  0.1278,  0.1276,  0.1148,  0.2340,  0.0804,  1.9477, -1.8717,  0.1093,  0.7243,  0.0851,  0.3399, -2.3644
         CN num,      gen-CN num,      chemSROP11,  0.5475,  0.4314,  0.7117,  2.0428,  0.1188,  0.2326, -6.3672,  0.6379,  2.2480,  0.0519,  0.2078, -5.9504
         CN num,      chemSROP11,      gen-CN num,  0.1278,  0.1272,  0.0700,  0.0313,  0.1270, -1.4910, -1.6708,  0.0797,  0.0096,  0.1156, -3.8293, -1.6516
     gen-CN num,      chemSROP11,          CN num,  0.1278,  0.1272,  0.1270,  0.0312,  0.0700, -1.4946, -1.6708,  0.1156,  0.0095,  0.0797, -3.8425, -1.6515
         CN num,      gen-CN num,      chemSROP12,  0.5483,  0.4549,  0.7121,  2.0432, -0.0128,  0.2331, -6.3684,  0.6545,  2.1806, -0.0157,  0.1831, -6.1596
         CN num,      chemSROP12,      gen-CN num,  0.1280,  0.1277,  0.0700,  1.0666,  0.1270,  0.0258, -2.7043,  0.0797,  0.9982,  0.1156,  0.0014, -2.6394
     gen-CN num,      chemSROP12,          CN num,  0.1280,  0.1277,  0.1284,  1.0571,  0.0686,  0.0259, -2.6931,  0.1156,  0.9969,  0.0797,  0.0014, -2.6381
         CN num,      gen-CN num,      chemSROP22,  0.5605,  0.2390,  0.7188,  2.0334, -0.0200,  0.2406, -6.3702,  0.5127,  3.0508, -0.0149,  0.1986, -5.2340
         CN num,      chemSROP22,      gen-CN num,  0.1279,  0.1276,  0.0704,  1.0680,  0.1265,  0.0187, -2.7059,  0.0802,  1.0583,  0.1151,  0.0079, -2.6998
     gen-CN num,      chemSROP22,          CN num,  0.1279,  0.1276,  0.1283,  1.0584,  0.0687,  0.0188, -2.6941,  0.1154,  1.0566,  0.0799,  0.0079, -2.6975
         CN num,      gen-CN num,       gCN-Ni-Ni,  0.5684,  0.1832,  0.7281,  1.9176, -0.1290,  0.2080, -6.5132,  0.4410,  2.9804, -0.0059,  0.2343, -4.4711
         CN num,       gCN-Ni-Ni,      gen-CN num,  0.1277,  0.1273,  0.0698,  1.2792,  0.1260, -0.0131, -2.9157,  0.0797,  1.6477,  0.1143, -0.0119, -3.2868
     gen-CN num,       gCN-Ni-Ni,          CN num,  0.1277,  0.1273,  0.1260,  1.2677,  0.0698, -0.0132, -2.9042,  0.1143,  1.9095,  0.0797, -0.0103, -3.5486
         CN num,      gen-CN num,       gCN-Ni-Pt,  0.5126,  0.4943,  0.6997,  2.0858, -0.1465,  0.1800, -6.3945,  0.6859,  2.0924, -0.1412,  0.1584, -6.3293
         CN num,       gCN-Ni-Pt,      gen-CN num,  0.1280,  0.1277,  0.0696,  0.9676,  0.1277,  0.0025, -2.6057,  0.0796,  0.9710,  0.1154, -0.0026, -2.6119
