         CN num,      gen-CN num,      surface CN,  0.1255,  0.1250,  0.0541,  0.0000, -1.1906, -0.1142,  0.0575,  0.0000, -1.2019, -0.1074
         CN num,      surface CN,      gen-CN num,  0.1299,  0.1302,  0.0202,  0.1971, -1.5283,  1.8214,  0.0168,  0.1950, -1.5121,  2.1363
     gen-CN num,      surface CN,          CN num,  0.1291,  0.1283,  0.0625,  0.1912, -1.8264,  0.6887,  0.0542,  0.1895, -1.8032,  0.7309
         CN num,      gen-CN num,           CN-Ni,  0.1255,  0.1250,  0.0541,  0.0000, -1.1906, -0.1142,  0.0575,  0.0000, -1.2020, -0.1074
         CN num,           CN-Ni,      gen-CN num,  0.1280,  0.1277,  0.0702,  0.1276, -1.6408,  0.0047,  0.0799,  0.1157, -1.6420,  0.0012
     gen-CN num,           CN-Ni,          CN num,  0.1280,  0.1277,  0.1281,  0.0696, -1.6399,  0.0024,  0.1157,  0.0797, -1.6414,  0.0003
         CN num,      gen-CN num, mean CN of NN Ni,  0.1254,  0.1248,  0.0539,  0.0012, -1.1944, -0.1141,  0.0574,  0.0015, -1.2068, -0.1070
         CN num, mean CN of NN Ni,      gen-CN num,  0.1276,  0.1272,  0.0680,  0.1261, -1.6298, -0.0036,  0.0784,  0.1136, -1.6321, -0.0033
     gen-CN num, mean CN of NN Ni,          CN num,  0.1276,  0.1272,  0.1233,  0.0701, -1.6301, -0.0027,  0.1108,  0.0806, -1.6326, -0.0031
         CN num,      gen-CN num, rms CN of NN Ni,  0.1254,  0.1248,  0.0539,  0.0011, -1.1941, -0.1142,  0.0573,  0.0014, -1.2065, -0.1071
         CN num, rms CN of NN Ni,      gen-CN num,  0.1277,  0.1273,  0.0679,  0.1262, -1.6300, -0.0035,  0.0784,  0.1138, -1.6323, -0.0032
     gen-CN num, rms CN of NN Ni,          CN num,  0.1276,  0.1272,  0.1236,  0.0699, -1.6302, -0.0026,  0.1110,  0.0805, -1.6327, -0.0030
         CN num,      gen-CN num, sub surface Ni num,  0.1217,  0.1213,  0.0559,  0.0430, -1.1975, -0.1067,  0.0594,  0.0421, -1.2080, -0.0999
         CN num, sub surface Ni num,      gen-CN num,  0.1235,  0.1233,  0.0730,  0.1135, -1.6009, -0.0699,  0.0819,  0.1029, -1.6016, -0.0616
     gen-CN num, sub surface Ni num,          CN num,  0.1234,  0.1232,  0.1095,  0.0764, -1.6032, -0.0582,  0.0990,  0.0853, -1.6040, -0.0627
         CN num,      gen-CN num,             BOO,  0.1255,  0.1250,  0.0541,  0.0000, -1.1906, -0.1142,  0.0575,  0.0000, -1.2019, -0.1074
         CN num,             BOO,      gen-CN num,  0.1260,  0.1249,  0.1045,  0.1390, -1.6391,  0.5820,  0.1207,  0.1295, -1.6442,  0.5949
     gen-CN num,             BOO,          CN num,  0.1260,  0.1249,  0.1861,  0.0628, -1.6412,  0.3304,  0.1861,  0.0723, -1.6472,  0.4158
         CN num,      gen-CN num,  Pt bond length,  0.1255,  0.1250,  0.0541,  0.0000, -1.1906, -0.1142,  0.0575,  0.0000, -1.2019, -0.1074
         CN num,  Pt bond length,      gen-CN num,  0.1114,  0.1106,  3.4817,  0.1216, -1.6516,  1.3867,  3.7067,  0.1159, -1.6420,  1.3917
     gen-CN num,  Pt bond length,          CN num,  0.1345,  0.1331,  0.9763,  0.1880, -1.7708,  22.9093,  0.9756,  0.1871, -1.7611,  23.6092
         CN num,      gen-CN num,    surface curv,  0.1255,  0.1250,  0.0541,  0.0000, -1.1906, -0.1142,  0.0575,  0.0000, -1.2019, -0.1074
         CN num,    surface curv,      gen-CN num,  0.1279,  0.1277,  0.0772,  0.1193, -1.6427,  0.4816,  0.0822,  0.1130, -1.6426,  0.1554
     gen-CN num,    surface curv,          CN num,  0.1279,  0.1277,  0.1201,  0.0766, -1.6428,  0.3718,  0.1131,  0.0821, -1.6427,  0.1452
         CN num,      gen-CN num,      chemSROP11,  0.1254,  0.1248,  0.0545,  0.0480, -1.1928, -0.1134,  0.0575,  0.0439, -1.2017, -0.1073
         CN num,      chemSROP11,      gen-CN num,  0.1278,  0.1275,  0.0703,  0.1267, -1.6389, -0.0949,  0.0800,  0.1154, -1.6413, -0.0699
     gen-CN num,      chemSROP11,          CN num,  0.1278,  0.1275,  0.1266,  0.0704, -1.6390, -0.0676,  0.1153,  0.0801, -1.6415, -0.0612
         CN num,      gen-CN num,      chemSROP12,  0.1255,  0.1250,  0.0541,  0.0000, -1.1906, -0.1142,  0.0575,  0.0000, -1.2018, -0.1074
         CN num,      chemSROP12,      gen-CN num,  0.1279,  0.1277,  0.0697,  0.1273, -1.6376,  0.0705,  0.0798,  0.1155, -1.6413,  0.0183
     gen-CN num,      chemSROP12,          CN num,  0.1279,  0.1276,  0.1273,  0.0697, -1.6376,  0.0518,  0.1155,  0.0799, -1.6413,  0.0184
         CN num,      gen-CN num,      chemSROP22,  0.1255,  0.1250,  0.0541,  0.0000, -1.1906, -0.1142,  0.0575,  0.0000, -1.2019, -0.1074
         CN num,      chemSROP22,      gen-CN num,  0.1278,  0.1276,  0.0703,  0.1267, -1.6381,  0.0443,  0.0801,  0.1152, -1.6415,  0.0203
     gen-CN num,      chemSROP22,          CN num,  0.1278,  0.1276,  0.1268,  0.0702, -1.6381,  0.0323,  0.1153,  0.0801, -1.6415,  0.0188
         CN num,      gen-CN num,       gCN-Ni-Ni,  0.1253,  0.1247,  0.0542,  0.0161, -1.1935, -0.1134,  0.0576,  0.0185, -1.2044, -0.1066
         CN num,       gCN-Ni-Ni,      gen-CN num,  0.1276,  0.1272,  0.0697,  0.1253, -1.6323, -0.0337,  0.0795,  0.1137, -1.6343, -0.0332
     gen-CN num,       gCN-Ni-Ni,          CN num,  0.1275,  0.1271,  0.1240,  0.0707, -1.6321, -0.0253,  0.1124,  0.0804, -1.6340, -0.0306
         CN num,      gen-CN num,       gCN-Ni-Pt,  0.1255,  0.1250,  0.0541,  0.0000, -1.1906, -0.1142,  0.0575,  0.0017, -1.2023, -0.1073
         CN num,       gCN-Ni-Pt,      gen-CN num,  0.1280,  0.1276,  0.0693,  0.1275, -1.6372, -0.0017,  0.0793,  0.1151, -1.6382, -0.0073
     gen-CN num,       gCN-Ni-Pt,          CN num,  0.1280,  0.1276,  0.1271,  0.0695, -1.6365, -0.0025,  0.1143,  0.0799, -1.6379, -0.0073
         CN num,      gen-CN num,       gCN-Pt-Ni,  0.1249,  0.1243,  0.0537,  0.0279, -1.2000, -0.1130,  0.0570,  0.0289, -1.2109, -0.1061
         CN num,       gCN-Pt-Ni,      gen-CN num,  0.1269,  0.1265,  0.0673,  0.1213, -1.6126, -0.0655,  0.0783,  0.1084, -1.6161, -0.0566
     gen-CN num,       gCN-Pt-Ni,          CN num,  0.1268,  0.1264,  0.1152,  0.0721, -1.6139, -0.0497,  0.1024,  0.0831, -1.6172, -0.0554
         CN num,      gen-CN num,       gCN-Pt-Pt,  0.1255,  0.1250,  0.0541,  0.0000, -1.1906, -0.1142,  0.0575,  0.0000, -1.2019, -0.1074
         CN num,       gCN-Pt-Pt,      gen-CN num,  0.1301,  0.1303,  0.0011,  0.1973, -1.5284,  40.9368,  0.1190,  0.1960, -1.5179,  6.3479
     gen-CN num,       gCN-Pt-Pt,          CN num,  0.1345,  0.1330,  0.0009,  0.1880, -1.7708,  61.2194,  0.1686,  0.1876, -1.7655,  6.3964
